day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-12-26,MES,LONG,2024-12-26 12:00:00-05:00,6100.75,2024-12-26 15:00:00-05:00,6094.75,2,SESSION_FLATTEN,-0.153,-62.96,104.4,False
2024-12-27,MES,SHORT,2024-12-27 12:00:00-05:00,5995.75,2024-12-27 15:00:00-05:00,6028.75,2,SESSION_FLATTEN,-0.773,-332.96,113.8,False
2024-12-31,MES,SHORT,2024-12-31 12:00:00-05:00,5943.00,2024-12-31 15:00:00-05:00,5935.25,2,SESSION_FLATTEN,0.174,74.54,118.7,False
2025-01-02,MES,SHORT,2025-01-02 12:00:00-05:00,5951.00,2025-01-02 12:00:00-05:00,5899.00,1,SCALE_OUT,0.000,259.26,122.1,True
2025-01-02,MES,SHORT,2025-01-02 12:00:00-05:00,5951.00,2025-01-02 15:00:00-05:00,5917.50,2,SESSION_FLATTEN,0.741,424.54,122.1,True
2025-01-06,MES,LONG,2025-01-06 12:00:00-05:00,6065.50,2025-01-06 14:00:00-05:00,6019.44,2,STOP,-1.005,-463.54,122.2,False
2025-01-07,MES,SHORT,2025-01-07 13:00:00-05:00,5975.75,2025-01-07 15:00:00-05:00,5955.25,2,SESSION_FLATTEN,0.458,202.04,119.3,False
2025-01-08,MES,SHORT,2025-01-08 13:00:00-05:00,5934.25,2025-01-08 15:00:00-05:00,5959.25,2,SESSION_FLATTEN,-0.564,-252.96,118.3,False
2025-01-10,MES,SHORT,2025-01-10 12:00:00-05:00,5851.00,2025-01-10 13:00:00-05:00,5902.27,1,STOP,-1.005,-257.83,136.1,False
2025-01-13,MES,SHORT,2025-01-13 13:00:00-05:00,5855.00,2025-01-13 15:00:00-05:00,5875.50,1,SESSION_FLATTEN,-0.399,-103.98,137.1,False
2025-01-14,MES,SHORT,2025-01-14 12:00:00-05:00,5846.50,2025-01-14 13:00:00-05:00,5889.72,2,STOP,-1.006,-435.16,124.5,False
2025-01-16,MES,LONG,2025-01-16 12:00:00-05:00,5995.25,2025-01-16 15:00:00-05:00,5976.00,2,SESSION_FLATTEN,-0.472,-195.46,120.5,False
2025-01-17,MES,LONG,2025-01-17 12:00:00-05:00,6040.75,2025-01-17 15:00:00-05:00,6033.00,2,SESSION_FLATTEN,-0.195,-80.46,115.2,False
2025-01-21,MES,LONG,2025-01-21 12:00:00-05:00,6071.25,2025-01-21 15:00:00-05:00,6086.25,2,SESSION_FLATTEN,0.414,147.04,96.7,False
2025-01-22,MES,LONG,2025-01-22 12:00:00-05:00,6134.00,2025-01-22 15:00:00-05:00,6120.00,3,SESSION_FLATTEN,-0.527,-214.44,87.3,False
2025-01-23,MES,LONG,2025-01-23 12:00:00-05:00,6128.50,2025-01-23 15:00:00-05:00,6153.25,3,SESSION_FLATTEN,0.957,366.81,71.5,False
2025-01-27,MES,SHORT,2025-01-27 12:00:00-05:00,6019.25,2025-01-27 15:00:00-05:00,6047.00,2,SESSION_FLATTEN,-0.828,-280.46,89.3,False
2025-01-28,MES,LONG,2025-01-28 12:00:00-05:00,6077.00,2025-01-28 15:00:00-05:00,6096.00,2,SESSION_FLATTEN,0.515,187.04,98.4,False
2025-01-31,MES,LONG,2025-01-31 12:00:00-05:00,6137.25,2025-01-31 13:00:00-05:00,6097.95,2,STOP,-1.006,-395.94,104.1,False
2025-02-05,MES,LONG,2025-02-05 12:00:00-05:00,6071.25,2025-02-05 15:00:00-05:00,6086.00,2,SESSION_FLATTEN,0.383,144.54,109.6,False
2025-02-07,MES,SHORT,2025-02-07 13:00:00-05:00,6062.25,2025-02-07 15:00:00-05:00,6049.50,2,SESSION_FLATTEN,0.336,124.54,101.3,False
2025-02-12,MES,LONG,2025-02-12 13:00:00-05:00,6083.50,2025-02-12 15:00:00-05:00,6072.50,3,SESSION_FLATTEN,-0.417,-169.44,87.9,False
2025-02-18,MES,LONG,2025-02-18 12:00:00-05:00,6137.00,2025-02-18 15:00:00-05:00,6147.75,3,SESSION_FLATTEN,0.431,156.81,66.4,False
2025-02-19,MES,LONG,2025-02-19 12:00:00-05:00,6151.00,2025-02-19 15:00:00-05:00,6162.75,4,SESSION_FLATTEN,0.599,229.08,64.7,False
2025-02-21,MES,SHORT,2025-02-21 13:00:00-05:00,6068.25,2025-02-21 14:00:00-05:00,6030.50,2,SCALE_OUT,0.000,376.02,82.5,True
2025-02-21,MES,SHORT,2025-02-21 13:00:00-05:00,6068.25,2025-02-21 15:00:00-05:00,6030.50,3,SESSION_FLATTEN,1.394,561.81,82.5,True
2025-02-25,MES,SHORT,2025-02-25 12:00:00-05:00,5960.00,2025-02-25 15:00:00-05:00,5970.75,2,SESSION_FLATTEN,-0.262,-110.46,109.3,False
2025-02-26,MES,SHORT,2025-02-26 13:00:00-05:00,5983.50,2025-02-26 15:00:00-05:00,5972.25,2,SESSION_FLATTEN,0.261,109.54,117.3,False
2025-02-28,MES,SHORT,2025-02-28 13:00:00-05:00,5860.00,2025-02-28 15:00:00-05:00,5964.25,1,SESSION_FLATTEN,-1.977,-522.73,140.6,False
2025-03-17,MES,SHORT,2025-03-17 13:00:00-04:00,5655.75,2025-03-17 15:00:00-04:00,5680.75,1,SESSION_FLATTEN,-0.431,-126.48,154.8,False
2025-03-18,MES,SHORT,2025-03-18 12:00:00-04:00,5605.25,2025-03-18 12:00:00-04:00,5661.90,1,STOP,-1.004,-284.74,150.4,False
2025-03-19,MES,LONG,2025-03-19 12:00:00-04:00,5667.25,2025-03-19 15:00:00-04:00,5679.25,1,SESSION_FLATTEN,0.235,58.52,136.3,False
2025-03-24,MES,LONG,2025-03-24 12:00:00-04:00,5814.25,2025-03-24 15:00:00-04:00,5813.50,1,SESSION_FLATTEN,-0.013,-5.23,155.1,False
2025-03-27,MES,LONG,2025-03-27 12:00:00-04:00,5750.50,2025-03-27 15:00:00-04:00,5740.50,2,SESSION_FLATTEN,-0.254,-102.96,108.7,False
2025-03-28,MES,SHORT,2025-03-28 12:00:00-04:00,5646.00,2025-03-28 15:00:00-04:00,5625.00,2,SESSION_FLATTEN,0.542,207.04,124.8,False
2025-04-02,MES,LONG,2025-04-02 12:00:00-04:00,5687.75,2025-04-02 15:00:00-04:00,5710.00,1,SESSION_FLATTEN,0.440,109.77,134.7,False
2025-04-29,MES,LONG,2025-04-29 12:00:00-04:00,5560.00,2025-04-29 15:00:00-04:00,5583.25,1,SESSION_FLATTEN,0.435,114.77,142.7,False
2025-04-30,MES,LONG,2025-04-30 12:00:00-04:00,5536.00,2025-04-30 15:00:00-04:00,5583.75,1,SESSION_FLATTEN,0.816,237.27,156.1,False
2025-05-05,MES,LONG,2025-05-05 12:00:00-04:00,5689.25,2025-05-05 15:00:00-04:00,5674.25,1,SESSION_FLATTEN,-0.288,-76.48,139.1,False
2025-05-06,MES,LONG,2025-05-06 12:00:00-04:00,5641.25,2025-05-06 15:00:00-04:00,5625.25,2,SESSION_FLATTEN,-0.383,-162.96,126.6,False
